id	Protein_Name	Accession_Number	Identified_Peptide_Count	Protein_Group_Score	Description	Gene_name	Uniprot_ID
18	sp|O93510|GELS_CHICK Gelsolin OS=Gallus gallus (Chicken) OX=9031 GN=GSN PE=2 SV=1	sp|O93510|GELS_CHICK	24	0.9999999999971677	Gelsolin	GSN	O93510
19	tr|F1NVF3|F1NVF3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=GC PE=4 SV=1	tr|F1NVF3|F1NVF3_CHICK	28	0.9999999999971406	Uncharacterized protein	GC	F1NVF3
20	tr|A0A1D5NW68|A0A1D5NW68_CHICK Serum albumin OS=Gallus gallus (Chicken) OX=9031 GN=ALB PE=4 SV=2	tr|A0A1D5NW68|A0A1D5NW68_CHICK	50	0.9999999999970602	Serum albumin	ALB	A0A1D5NW68
21	Group of sp|P27731|TTHY_CHICK Transthyretin OS=Gallus gallus (Chicken) OX=9031 GN=TTR PE=1 SV=1	sp|P27731|TTHY_CHICK (+1)	9	0.9999999999966741	Transthyretin	TTR	P27731
22	tr|A0A3Q2UKP2|A0A3Q2UKP2_CHICK MG2 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000053074 PE=4 SV=1	tr|A0A3Q2UKP2|A0A3Q2UKP2_CHICK	4	0.999999999995282	MG2 domain-containing protein	ENSGALG00000053074	A0A3Q2UKP2
23	Group of sp|P04210|LV1_CHICK Ig lambda chain V-1 region OS=Gallus gallus (Chicken) OX=9031 GN=- PE=4 SV=1	sp|P04210|LV1_CHICK (+1)	2	0.9999999999942019	Ig lambda chain V-1 region	-	P04210
24	tr|B8ZX71|B8ZX71_CHICK Sixth complement component OS=Gallus gallus (Chicken) OX=9031 GN=C6 PE=2 SV=1	tr|B8ZX71|B8ZX71_CHICK	28	0.9999999999936512	Sixth complement component	C6	B8ZX71
25	tr|A0A3Q2UFX3|A0A3Q2UFX3_CHICK IGv domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049010 PE=4 SV=1	tr|A0A3Q2UFX3|A0A3Q2UFX3_CHICK	2	0.9999999999925466	IGv domain-containing protein	ENSGALG00000049010	A0A3Q2UFX3
26	tr|A0A3Q2U7P5|A0A3Q2U7P5_CHICK Peptidase S1 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CFD PE=3 SV=1	tr|A0A3Q2U7P5|A0A3Q2U7P5_CHICK	11	0.9999999999919921	Peptidase S1 domain-containing protein	CFD	A0A3Q2U7P5
27	tr|F1NV02|F1NV02_CHICK Vitellogenin domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=APOB PE=4 SV=2	tr|F1NV02|F1NV02_CHICK	218	0.9999999999918172	Vitellogenin domain-containing protein	APOB	F1NV02
28	tr|A0A1D5P6F4|A0A1D5P6F4_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC429249 PE=4 SV=2	tr|A0A1D5P6F4|A0A1D5P6F4_CHICK	69	0.9999999999912039	Uncharacterized protein	LOC429249	A0A1D5P6F4
29	tr|A0A3Q2TRY3|A0A3Q2TRY3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CFH PE=4 SV=1	tr|A0A3Q2TRY3|A0A3Q2TRY3_CHICK	42	0.9999999999879507	Uncharacterized protein	CFH	A0A3Q2TRY3
30	tr|A0A3Q3ANZ2|A0A3Q3ANZ2_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047480 PE=4 SV=1	tr|A0A3Q3ANZ2|A0A3Q3ANZ2_CHICK	14	0.9999999999877899	Uncharacterized protein	ENSGALG00000047480	A0A3Q3ANZ2
31	tr|A0A3Q2TWQ7|A0A3Q2TWQ7_CHICK VWFD domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052306 PE=4 SV=1	tr|A0A3Q2TWQ7|A0A3Q2TWQ7_CHICK	7	0.9999999999872566	VWFD domain-containing protein	ENSGALG00000052306	A0A3Q2TWQ7
32	tr|E1C6U2|E1C6U2_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=C7 PE=4 SV=2	tr|E1C6U2|E1C6U2_CHICK	27	0.9999999999842653	Uncharacterized protein	C7	E1C6U2
33	sp|P00565|KCRM_CHICK Creatine kinase M-type OS=Gallus gallus (Chicken) OX=9031 GN=CKM PE=2 SV=1	sp|P00565|KCRM_CHICK	12	0.99999999997515	Creatine kinase M-type	CKM	P00565
34	tr|E1C0U5|E1C0U5_CHICK Alkaline phosphatase OS=Gallus gallus (Chicken) OX=9031 GN=ALPP PE=3 SV=2	tr|E1C0U5|E1C0U5_CHICK	12	0.9999999999499501	Alkaline phosphatase	ALPP	E1C0U5
35	tr|E1BQC2|E1BQC2_CHICK Ovotransferrin OS=Gallus gallus (Chicken) OX=9031 GN=TF PE=3 SV=4	tr|E1BQC2|E1BQC2_CHICK	48	0.9999999999474812	Ovotransferrin	TF	E1BQC2
36	tr|E1C7A7|E1C7A7_CHICK SMB domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=VTN PE=4 SV=2	tr|E1C7A7|E1C7A7_CHICK	15	0.9999999999029818	SMB domain-containing protein	VTN	E1C7A7
37	tr|F1NF64|F1NF64_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CFI PE=3 SV=3	tr|F1NF64|F1NF64_CHICK	19	0.999999999899032	Uncharacterized protein	CFI	F1NF64
38	tr|A0A3Q2UAF0|A0A3Q2UAF0_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=APOA4 PE=3 SV=1	tr|A0A3Q2UAF0|A0A3Q2UAF0_CHICK	30	0.999999999892461	Uncharacterized protein	APOA4	A0A3Q2UAF0
39	sp|P01994|HBA_CHICK Hemoglobin subunit alpha-A OS=Gallus gallus (Chicken) OX=9031 GN=HBAA PE=1 SV=2	sp|P01994|HBA_CHICK	6	0.999999999861506	Hemoglobin subunit alpha-A	HBAA	P01994
40	tr|A0A3Q2TV88|A0A3Q2TV88_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047506 PE=4 SV=1	tr|A0A3Q2TV88|A0A3Q2TV88_CHICK	1	0.999999999841746	Ig-like domain-containing protein	ENSGALG00000047506	A0A3Q2TV88
41	tr|Q8JIG5|Q8JIG5_CHICK Alpha-1-acid glycoprotein OS=Gallus gallus (Chicken) OX=9031 GN=ogchi PE=2 SV=1	tr|Q8JIG5|Q8JIG5_CHICK	7	0.999999999814143	Alpha-1-acid glycoprotein	ogchi	Q8JIG5
42	sp|P01875|IGHM_CHICK Ig mu chain C region OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=2	sp|P01875|IGHM_CHICK	14	0.99999999977049	Ig mu chain C region	-	P01875
43	tr|A0A3Q2TUE5|A0A3Q2TUE5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000046719 PE=4 SV=1	tr|A0A3Q2TUE5|A0A3Q2TUE5_CHICK	2	0.999999999768538	Ig-like domain-containing protein	ENSGALG00000046719	A0A3Q2TUE5
44	sp|P02001|HBAD_CHICK Hemoglobin subunit alpha-D OS=Gallus gallus (Chicken) OX=9031 GN=HBAD PE=1 SV=1	sp|P02001|HBAD_CHICK	11	0.99999999976095	Hemoglobin subunit alpha-D	HBAD	P02001
45	tr|F1NAR5|F1NAR5_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SERPINF2 PE=3 SV=3	tr|F1NAR5|F1NAR5_CHICK	10	0.99999999975229	SERPIN domain-containing protein	SERPINF2	F1NAR5
46	sp|P07322|ENOB_CHICK Beta-enolase OS=Gallus gallus (Chicken) OX=9031 GN=ENO3 PE=1 SV=3	sp|P07322|ENOB_CHICK	8	0.9999999996628139	Beta-enolase	ENO3	P07322
47	tr|A0A3Q2U0E4|A0A3Q2U0E4_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051946 PE=4 SV=1	tr|A0A3Q2U0E4|A0A3Q2U0E4_CHICK	5	0.999999999651108	Ig-like domain-containing protein	ENSGALG00000051946	A0A3Q2U0E4
48	tr|F1NXV6|F1NXV6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=F2 PE=3 SV=2	tr|F1NXV6|F1NXV6_CHICK	27	0.999999999529818	Uncharacterized protein	F2	F1NXV6
49	tr|A0A3Q2ULQ6|A0A3Q2ULQ6_CHICK Zn_dep_PLPC domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=GPLD1 PE=4 SV=1	tr|A0A3Q2ULQ6|A0A3Q2ULQ6_CHICK	17	0.999999999525058	Zn_dep_PLPC domain-containing protein	GPLD1	A0A3Q2ULQ6
50	tr|F1NIU3|F1NIU3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ITIH2 PE=4 SV=4	tr|F1NIU3|F1NIU3_CHICK	27	0.999999999501435	Uncharacterized protein	ITIH2	F1NIU3
51	tr|A0A3Q2UCH2|A0A3Q2UCH2_CHICK A2M domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000053343 PE=4 SV=1	tr|A0A3Q2UCH2|A0A3Q2UCH2_CHICK	4	0.999999999499937	A2M domain-containing protein	ENSGALG00000053343	A0A3Q2UCH2
52	tr|A0A1D5PU00|A0A1D5PU00_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=AMBP PE=4 SV=1	tr|A0A1D5PU00|A0A1D5PU00_CHICK	13	0.9999999994572659	Uncharacterized protein	AMBP	A0A1D5PU00
53	sp|P00548|KPYM_CHICK Pyruvate kinase PKM OS=Gallus gallus (Chicken) OX=9031 GN=PKM PE=2 SV=2	sp|P00548|KPYM_CHICK	25	0.999999999390465	Pyruvate kinase PKM	PKM	P00548
54	tr|F1NEB3|F1NEB3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=HABP2 PE=3 SV=2	tr|F1NEB3|F1NEB3_CHICK	10	0.999999999056389	Uncharacterized protein	HABP2	F1NEB3
55	tr|A0A1D5NUQ7|A0A1D5NUQ7_CHICK Insulin like growth factor binding protein 7 OS=Gallus gallus (Chicken) OX=9031 GN=IGFBP7 PE=4 SV=2	tr|A0A1D5NUQ7|A0A1D5NUQ7_CHICK	10	0.99999999878559	Insulin like growth factor binding protein 7	IGFBP7	A0A1D5NUQ7
56	tr|E1BS56|E1BS56_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SPIA4 PE=3 SV=1	tr|E1BS56|E1BS56_CHICK	15	0.99999999848934	SERPIN domain-containing protein	SPIA4	E1BS56
57	sp|Q03696|NGCA_CHICK Neuronal-glial cell adhesion molecule OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=2	sp|Q03696|NGCA_CHICK	20	0.99999999846049	Neuronal-glial cell adhesion molecule	-	Q03696
58	sp|P02789|TRFE_CHICK Ovotransferrin OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=2	sp|P02789|TRFE_CHICK	47	0.99999999819446	Ovotransferrin	-	P02789
59	sp|O42401|MATN3_CHICK Matrilin-3 OS=Gallus gallus (Chicken) OX=9031 GN=MATN3 PE=2 SV=1	sp|O42401|MATN3_CHICK	10	0.99999999818599	Matrilin-3	MATN3	O42401
60	tr|F1NHT5|F1NHT5_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=FETUB PE=4 SV=2	tr|F1NHT5|F1NHT5_CHICK	15	0.9999999979924299	Uncharacterized protein	FETUB	F1NHT5
61	tr|Q9W6U9|Q9W6U9_CHICK Glycoprotein 130 OS=Gallus gallus (Chicken) OX=9031 GN=gp130 PE=2 SV=1	tr|Q9W6U9|Q9W6U9_CHICK	10	0.9999999975413301	Glycoprotein 130	gp130	Q9W6U9
62	tr|A0A3Q2U8K0|A0A3Q2U8K0_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052583 PE=4 SV=1	tr|A0A3Q2U8K0|A0A3Q2U8K0_CHICK	10	0.99999999688084	Uncharacterized protein	ENSGALG00000052583	A0A3Q2U8K0
63	Group of sp|P02457|CO1A1_CHICK Collagen alpha-1(I) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL1A1 PE=1 SV=3	sp|P02457|CO1A1_CHICK (+1)	12	0.99999999645013	Collagen alpha-1(I) chain	COL1A1	P02457
64	tr|F1NA58|F1NA58_CHICK Calponin-homology (CH) domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000007381 PE=3 SV=4	tr|F1NA58|F1NA58_CHICK	16	0.999999996214	Calponin-homology (CH) domain-containing protein	ENSGALG00000007381	F1NA58
65	tr|E1C4Z6|E1C4Z6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=VWF PE=4 SV=2	tr|E1C4Z6|E1C4Z6_CHICK	69	0.99999999613315	Uncharacterized protein	VWF	E1C4Z6
66	Group of sp|P20763|LAC_CHICK Ig lambda chain C region OS=Gallus gallus (Chicken) OX=9031 GN=- PE=4 SV=1	sp|P20763|LAC_CHICK (+1)	5	0.9999999947998002	Ig lambda chain C region	-	P20763
67	tr|A0A1D5PBP6|A0A1D5PBP6_CHICK Ceruloplasmin OS=Gallus gallus (Chicken) OX=9031 GN=CP PE=3 SV=2	tr|A0A1D5PBP6|A0A1D5PBP6_CHICK	21	0.9999999941353801	Ceruloplasmin	CP	A0A1D5PBP6
68	tr|A0A1D5P5V5|A0A1D5P5V5_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=C4 PE=4 SV=2	tr|A0A1D5P5V5|A0A1D5P5V5_CHICK	40	0.9999999937813402	Uncharacterized protein	C4	A0A1D5P5V5
69	Group of sp|P53478|ACT5_CHICK Actin, cytoplasmic type 5 OS=Gallus gallus (Chicken) OX=9031 GN=- PE=3 SV=1	sp|P53478|ACT5_CHICK (+2)	13	0.9999999927493302	Actin, cytoplasmic type 5	-	P53478
70	tr|A0A3Q2U315|A0A3Q2U315_CHICK IgGFc_binding domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052853 PE=4 SV=1	tr|A0A3Q2U315|A0A3Q2U315_CHICK	10	0.9999999922428104	IgGFc_binding domain-containing protein	ENSGALG00000052853	A0A3Q2U315
71	tr|A0A1D5PU94|A0A1D5PU94_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=C4A PE=4 SV=1	tr|A0A1D5PU94|A0A1D5PU94_CHICK	66	0.99999999111248	Uncharacterized protein	C4A	A0A1D5PU94
72	tr|F1NJU5|F1NJU5_CHICK Complement C8 alpha chain OS=Gallus gallus (Chicken) OX=9031 GN=C8A PE=4 SV=2	tr|F1NJU5|F1NJU5_CHICK	14	0.9999999905392203	Complement C8 alpha chain	C8A	F1NJU5
73	tr|E1C7T1|E1C7T1_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SPIA1 PE=3 SV=1	tr|E1C7T1|E1C7T1_CHICK	18	0.9999999904096297	SERPIN domain-containing protein	SPIA1	E1C7T1
74	tr|A0A1D5PW77|A0A1D5PW77_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC776376 PE=4 SV=1	tr|A0A1D5PW77|A0A1D5PW77_CHICK	7	0.9999999897137002	Ig-like domain-containing protein	LOC776376	A0A1D5PW77
75	tr|A0A3Q2UCM5|A0A3Q2UCM5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000053620 PE=4 SV=1	tr|A0A3Q2UCM5|A0A3Q2UCM5_CHICK	2	0.9999999889874998	Ig-like domain-containing protein	ENSGALG00000053620	A0A3Q2UCM5
76	tr|A0A1D5PK48|A0A1D5PK48_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=APOC3 PE=4 SV=1	tr|A0A1D5PK48|A0A1D5PK48_CHICK	6	0.9999999889637001	Uncharacterized protein	APOC3	A0A1D5PK48
77	Group of sp|P79795|NRP1_CHICK Neuropilin-1 OS=Gallus gallus (Chicken) OX=9031 GN=NRP1 PE=2 SV=1	sp|P79795|NRP1_CHICK (+1)	13	0.9999999880982999	Neuropilin-1	NRP1	P79795
78	tr|A0A3Q2U7L8|A0A3Q2U7L8_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050545 PE=4 SV=1	tr|A0A3Q2U7L8|A0A3Q2U7L8_CHICK	4	0.9999999880923998	Ig-like domain-containing protein	ENSGALG00000050545	A0A3Q2U7L8
79	tr|A0A3Q2U2H4|A0A3Q2U2H4_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050774 PE=4 SV=1	tr|A0A3Q2U2H4|A0A3Q2U2H4_CHICK	3	0.9999999874089003	Uncharacterized protein	ENSGALG00000050774	A0A3Q2U2H4
80	tr|A0A3Q2UAA5|A0A3Q2UAA5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC107051274 PE=4 SV=1	tr|A0A3Q2UAA5|A0A3Q2UAA5_CHICK	4	0.9999999867260998	Ig-like domain-containing protein	LOC107051274	A0A3Q2UAA5
81	Group of sp|P01038|CYT_CHICK Cystatin OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=2	sp|P01038|CYT_CHICK (+1)	4	0.9999999848430008	Cystatin	-	P01038
82	sp|P10184|IOV7_CHICK Ovoinhibitor OS=Gallus gallus (Chicken) OX=9031 GN=OIH PE=1 SV=2	sp|P10184|IOV7_CHICK	18	0.9999999842149006	Ovoinhibitor	OIH	P10184
83	tr|A0A1D5PGB2|A0A1D5PGB2_CHICK C1q domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=C1QC PE=4 SV=1	tr|A0A1D5PGB2|A0A1D5PGB2_CHICK	4	0.9999999841743996	C1q domain-containing protein	C1QC	A0A1D5PGB2
84	tr|A0A1L1RN32|A0A1L1RN32_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC426820 PE=4 SV=2	tr|A0A1L1RN32|A0A1L1RN32_CHICK	15	0.9999999802905997	Uncharacterized protein	LOC426820	A0A1L1RN32
85	sp|P02112|HBB_CHICK Hemoglobin subunit beta OS=Gallus gallus (Chicken) OX=9031 GN=HBB PE=1 SV=2	sp|P02112|HBB_CHICK	11	0.9999999780749995	Hemoglobin subunit beta	HBB	P02112
86	sp|P08250|APOA1_CHICK Apolipoprotein A-I OS=Gallus gallus (Chicken) OX=9031 GN=APOA1 PE=1 SV=2	sp|P08250|APOA1_CHICK	33	0.9999999775105994	Apolipoprotein A-I	APOA1	P08250
87	tr|A0A3Q2U9M3|A0A3Q2U9M3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051167 PE=4 SV=1	tr|A0A3Q2U9M3|A0A3Q2U9M3_CHICK	4	0.9999999755893008	Ig-like domain-containing protein	ENSGALG00000051167	A0A3Q2U9M3
88	sp|P01012|OVAL_CHICK Ovalbumin OS=Gallus gallus (Chicken) OX=9031 GN=SERPINB14 PE=1 SV=2	sp|P01012|OVAL_CHICK	6	0.9999999736749992	Ovalbumin	SERPINB14	P01012
89	tr|A0A3Q2U3X0|A0A3Q2U3X0_CHICK LRRCT domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC101750889 PE=4 SV=1	tr|A0A3Q2U3X0|A0A3Q2U3X0_CHICK	8	0.9999999731418008	LRRCT domain-containing protein	LOC101750889	A0A3Q2U3X0
90	tr|F1P2W2|F1P2W2_CHICK Attractin OS=Gallus gallus (Chicken) OX=9031 GN=ATRN PE=4 SV=5	tr|F1P2W2|F1P2W2_CHICK	22	0.9999999721331996	Attractin	ATRN	F1P2W2
91	tr|F1NMN2|F1NMN2_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=SPINK5 PE=4 SV=4	tr|F1NMN2|F1NMN2_CHICK	18	0.999999970105101	Uncharacterized protein	SPINK5	F1NMN2
92	tr|A0A1D5PC67|A0A1D5PC67_CHICK Complement C5 OS=Gallus gallus (Chicken) OX=9031 GN=C5 PE=4 SV=2	tr|A0A1D5PC67|A0A1D5PC67_CHICK	58	0.9999999689999015	Complement C5	C5	A0A1D5PC67
93	tr|A0A3Q2TZA4|A0A3Q2TZA4_CHICK A2M_recep domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048124 PE=4 SV=1	tr|A0A3Q2TZA4|A0A3Q2TZA4_CHICK	9	0.9999999679118012	A2M_recep domain-containing protein	ENSGALG00000048124	A0A3Q2TZA4
94	tr|A0A1D5PCD2|A0A1D5PCD2_CHICK A2M_recep domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000039764 PE=4 SV=3	tr|A0A1D5PCD2|A0A1D5PCD2_CHICK	22	0.9999999665426991	A2M_recep domain-containing protein	ENSGALG00000039764	A0A1D5PCD2
95	tr|A0A1D5NXA6|A0A1D5NXA6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ITIH3 PE=4 SV=2	tr|A0A1D5NXA6|A0A1D5NXA6_CHICK	17	0.9999999663868984	Uncharacterized protein	ITIH3	A0A1D5NXA6
96	tr|A0A3Q2UPH3|A0A3Q2UPH3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047960 PE=4 SV=1	tr|A0A3Q2UPH3|A0A3Q2UPH3_CHICK	2	0.9999999521723986	Ig-like domain-containing protein	ENSGALG00000047960	A0A3Q2UPH3
97	tr|A0A3Q2TWJ9|A0A3Q2TWJ9_CHICK MG2 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052200 PE=4 SV=1	tr|A0A3Q2TWJ9|A0A3Q2TWJ9_CHICK	2	0.9999999482602	MG2 domain-containing protein	ENSGALG00000052200	A0A3Q2TWJ9
98	tr|F1NAB7|F1NAB7_CHICK Complement C1r OS=Gallus gallus (Chicken) OX=9031 GN=C1R PE=3 SV=2	tr|F1NAB7|F1NAB7_CHICK	14	0.9999999392844003	Complement C1r	C1R	F1NAB7
99	tr|A0A3Q2U775|A0A3Q2U775_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050715 PE=4 SV=1	tr|A0A3Q2U775|A0A3Q2U775_CHICK	3	0.9999999372239969	Ig-like domain-containing protein	ENSGALG00000050715	A0A3Q2U775
100	tr|E1BUA6|E1BUA6_CHICK CN hydrolase domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=VNN1 PE=4 SV=4	tr|E1BUA6|E1BUA6_CHICK	13	0.9999999360518999	CN hydrolase domain-containing protein	VNN1	E1BUA6
